Aspect,Slope,LULC,NDVI,Rainfall,TWI
152.73079,55.198463,30,0.662063,4.696327,13.656511977832
315.88605,38.27856,10,0.64531434,4.586505,14.396695358888715
138.70737,61.363068,60,0.43183094,4.696327,13.776602978642284
155.45984,45.407505,10,0.70581937,4.4527707,14.40572178276577
169.32094,30.66924,10,0.6223297,4.696327,14.71317989545308
24.023,30.32146,10,0.30490994,4.696327,14.36327531228753
224.31703,44.87066,30,0.26266852,4.9416623,14.293348512791944
141.0195,23.619984,30,0.41203704,4.835017,15.701460029340591
36.207474,34.29834,10,0.8132523,4.696327,14.807072980342427
1.296304,38.993484,10,0.71778685,4.696327,14.42891158023864
204.8379,38.127014,60,0.49759257,4.77441,14.605301390342758
180.0,51.260864,30,0.6150126,4.772528,14.409385566456674
124.50311,38.665775,30,0.3519225,4.4041653,14.738958550873862
240.85355,21.744164,10,0.8467618,4.772528,15.36625579238838
128.80652,46.64269,30,0.3540321,4.835017,14.898659052673848
278.78183,36.58301,10,0.097814776,4.772528,14.932017871047655
133.63576,62.814762,30,0.38868323,4.383127,14.001926026073791
333.37643,47.844563,10,0.7416717,4.758372,14.825803092513476
124.60347,48.02769,30,0.83489096,4.383127,14.630927400892922
113.85827,40.045513,10,0.5462857,4.383127,14.522993134493309
227.08043,44.26407,30,0.4045847,4.383127,14.629368609289449
139.20049,49.62716,30,0.36764705,5.2163897,13.844866607213996
144.3475,46.0111,30,0.5238923,5.2163897,13.66580463548293
177.91158,26.663717,30,0.26658696,5.2163897,14.923754110794878
181.2698,39.549183,10,0.33682588,5.2163897,14.483614829536911
157.65363,37.599663,10,0.5569834,5.2163897,14.860761559318876
177.46161,39.56989,30,0.31655315,5.2163897,14.527457829717052
174.46548,29.649637,30,0.38674992,5.2163897,14.443335425982449
162.9772,39.097828,10,0.3125386,5.2163897,14.733217338748265
256.52893,42.09333,10,0.68897957,4.9416623,14.52745590334147
-0.0,45.56248,10,0.5804878,4.9416623,14.40447530470612
339.6214,50.40018,10,0.579288,4.9416623,14.204625960830525
336.404,57.24698,10,0.48158255,4.9416623,14.088468383916592
0.8752873,50.14824,10,0.4949644,4.9416623,14.236726072970807
3.6963944,29.585878,10,0.6956688,4.9416623,14.956436829959058
290.7617,39.419807,10,0.7042017,5.2163897,14.849192164943666
250.1058,40.572895,10,0.5022915,5.2163897,14.60390996100854
128.46031,48.871387,30,0.3112155,5.2163897,14.40696665666134
140.69554,50.506207,30,0.66180134,5.2163897,14.282241673028672
145.0153,39.687,10,0.58882684,5.2163897,14.60786196302852
199.83904,38.966953,10,0.61162645,5.2163897,14.678652073679896
153.68016,30.024471,30,0.39957264,4.9416623,15.124146268922068
160.39682,51.438686,30,0.242223,5.2163897,14.34266380232403
115.8732,32.236492,30,0.38034606,4.383127,15.346314701365603
167.57895,51.921494,10,0.43649948,4.9416623,14.220027697101305
210.63445,38.31456,10,0.6010767,4.9416623,14.860747051855904
132.91621,44.265873,30,0.6213518,4.383127,15.102175687300752
110.22908,49.48912,30,0.48999014,4.383127,14.68165825294056
149.9701,41.30869,30,0.1212954,4.5461755,14.672465414070532
141.115,58.9909,10,0.670936,5.2217073,14.700309292496964
154.12279,37.07669,60,0.38504907,5.2217073,14.581070826493123
56.695744,40.529102,10,0.8159649,4.496347,14.751115243674397
139.78148,60.389526,10,0.73587126,4.5461755,13.55533567897455
221.16399,43.41394,50,0.25329223,4.625964,14.438012291831436
211.4501,35.072224,30,0.3997492,4.625964,14.85918782434238
229.78957,28.882471,60,0.46953404,4.625964,14.47382379208665
222.15062,33.226265,60,0.14830177,4.548963,14.633031452336906
206.07224,33.695385,60,0.4536817,4.625964,14.73518353581832
156.13759,22.152197,10,0.50554067,4.549546,14.702561471198994
276.8737,22.086023,10,0.4676282,4.607892,15.108600994592177
59.802982,40.98964,10,0.77272725,4.496347,14.153043376308135
78.40663,46.319546,10,0.6429624,4.496347,14.227303792643204
117.852234,59.50204,10,0.60140824,4.804811,13.765828359640093
220.89896,45.18737,60,0.3794991,4.804811,14.392601791906094
143.97551,40.051987,10,0.66550255,4.607892,14.56968934533984
169.83014,53.442406,10,0.5423411,4.496347,14.274720049355242
150.49951,44.043415,10,0.44874564,4.496347,14.657032756608965
207.49782,42.379574,10,0.48710683,4.496347,14.811795946434906
175.37909,34.298035,30,0.37448558,4.496347,14.920235493421464
189.8625,32.651463,10,0.5709545,4.3611135,14.58985148553772
24.61782,33.378128,10,0.6037028,4.549546,14.055150201790727
335.2753,25.695961,30,0.25410733,4.463525,14.497214309943368
355.46735,42.787277,10,0.7489481,4.780184,14.635793007729427
143.26294,41.630196,30,0.34259903,4.106739,15.31597387332308
244.11249,32.223183,10,0.8453691,4.780184,14.743881390699624
11.871889,35.42381,10,0.78927565,4.780184,14.75245841358525
342.68628,26.184528,30,0.6819299,4.136266,15.195537349225935
228.48953,33.403748,30,0.36915886,4.780184,15.171569927685512
324.84006,56.73927,10,0.74913293,4.780184,14.020918354738166
310.87106,47.42614,10,0.76985943,4.780184,14.505322020737248
294.97552,20.97615,10,0.7174178,4.780184,14.84985759263358
225.76746,45.59697,10,0.5786133,4.780184,14.440242000563872
267.54794,48.620514,10,0.70505923,4.780184,14.569866759917844
220.0081,36.490147,30,0.46329114,4.780184,14.922001582086375
242.2768,33.47071,30,0.45232558,4.780184,14.730008835428618
333.93628,33.69346,10,0.66684824,4.607892,14.39241236581892
206.83966,40.453617,30,0.6015276,4.772528,14.443658018918962
351.3099,31.21181,10,0.59922296,4.607892,14.909240132310549
239.46326,45.553787,10,0.7449284,4.674496,14.721058625852912
178.67607,38.428925,10,0.72452444,4.726099,14.653859274869486
169.31349,41.655262,60,0.45351008,4.8086514,14.922236940646174
170.50621,41.54988,30,0.56142586,4.343434,14.85008647144395
149.9007,34.69481,10,0.62139916,4.343434,14.089627280377904
78.769905,47.217735,30,0.40202966,4.343434,14.618068232376013
200.61995,43.04464,10,0.5345364,4.343434,14.47658149618806
186.28462,33.731483,30,0.45217144,4.343434,14.685372680283532
275.3829,40.787045,10,0.65495527,4.343434,14.641499456979872
34.5492,63.032845,10,0.8174827,4.343434,13.559051177168923
333.77628,35.13623,10,0.8757764,4.1832337,14.73435814643782
322.6664,39.157925,10,0.6582998,4.7094727,13.923590381132868
341.6597,63.183746,30,0.7197197,4.586505,14.887092413161827
353.7537,45.274715,30,0.6587473,4.586505,14.775508765486816
356.84412,33.61225,10,0.88235295,4.674496,14.61162553232352
306.16165,27.530474,10,0.84,4.674496,14.561741223247688
23.343103,44.118645,10,0.82044446,4.674496,14.717300596723796
342.51462,45.993385,10,0.26435572,4.674496,14.548020065258797
156.70811,55.96167,10,0.5189068,4.674496,14.129582241343265
321.8207,25.344088,10,0.8143041,4.674496,14.94273490464005
8.990274,39.3331,10,0.87663215,4.674496,14.364426292253668
22.769787,50.863895,10,0.7979452,4.674496,14.411726144408208
77.63669,63.900887,10,0.82122904,4.674496,14.947485806506316
21.890879,38.133884,10,0.85827667,4.674496,14.582215678997132
36.464634,27.624834,10,0.7637199,5.2163897,14.716241443615049
1.6185671,32.933926,10,0.8428638,5.2163897,14.683925003238766
22.970314,22.878057,10,0.7270241,5.2163897,14.028098733662423
16.42872,49.346073,10,0.71161306,5.2163897,14.009129979993542
0.99621356,46.461533,10,0.6825667,5.2163897,13.82121806555183
341.9418,41.5209,10,0.77074546,5.2163897,13.878762736203186
325.50958,45.047066,10,0.70566595,5.2163897,13.757951875632576
312.8578,45.66163,10,0.75972223,5.2163897,13.76492551816114
191.87427,49.185577,30,0.4994614,4.987441,14.254642076349755
171.47755,48.062683,30,0.56497693,4.987441,14.262484628649458
21.747799,30.649303,10,0.33676755,5.2163897,14.94371064179992
25.5573,25.010464,10,0.79735905,5.2163897,14.39491420127025
19.053299,31.655348,10,0.8296296,5.2163897,14.39528056352951
23.801756,35.95696,10,0.70611656,5.2163897,14.255419823191588
181.13527,42.703423,10,0.5799868,4.370652,14.687017460217875
246.12318,34.210606,30,0.16989419,4.370652,14.83472677236529
256.018,31.089102,30,0.43267503,4.370652,15.066837262362451
343.4397,32.690525,10,0.38373643,4.7094727,13.992253302243816
261.1315,32.211266,10,0.6291313,4.586505,14.515459131445748
279.8762,48.556446,30,0.36433837,4.780184,14.604459047890815
251.00247,19.19274,10,0.7933475,4.370652,15.148137486829055
205.83067,14.1325035,30,0.6019271,4.370652,15.69239023685778
241.58572,48.30647,10,0.70286214,4.370652,14.827926204322033
252.59087,42.60727,10,0.7569328,4.370652,14.800501726373264
262.58194,51.42537,10,0.65475637,4.370652,14.440924999593008
190.11111,31.998774,10,0.7441777,4.370652,14.67542252300408
215.62634,39.232502,30,0.25670296,5.2163897,14.284499255544684
189.43552,48.1344,30,0.25147527,5.2163897,14.349965983681484
242.18643,47.083126,30,0.36307564,5.2163897,14.312084894107
1.5411178,53.678497,30,0.8063063,4.780184,14.670211829687112
