,"(mm) Precipitation (CHIRPS) at Polygon 1, 2023-01-01 to 2023-12-31"
"2023-01-01",0
"2023-01-02",0
"2023-01-03",0
"2023-01-04",0
"2023-01-05",0.537
"2023-01-06",0.2435
"2023-01-07",0
"2023-01-08",0
"2023-01-09",0
"2023-01-10",2.3743
"2023-01-11",0
"2023-01-12",0
"2023-01-13",0
"2023-01-14",0
"2023-01-15",0
"2023-01-16",0
"2023-01-17",0
"2023-01-18",0
"2023-01-19",0
"2023-01-20",0.2287
"2023-01-21",0
"2023-01-22",0
"2023-01-23",0
"2023-01-24",0
"2023-01-25",0
"2023-01-26",2.4126
"2023-01-27",0
"2023-01-28",0
"2023-01-29",0
"2023-01-30",0.0522
"2023-01-31",0
"2023-02-01",0
"2023-02-02",0
"2023-02-03",0
"2023-02-04",0
"2023-02-05",0
"2023-02-06",0
"2023-02-07",0.0478
"2023-02-08",0.0156
"2023-02-09",0
"2023-02-10",0
"2023-02-11",0
"2023-02-12",0
"2023-02-13",0
"2023-02-14",2.1315
"2023-02-15",0.242
"2023-02-16",0
"2023-02-17",0
"2023-02-18",0
"2023-02-19",0
"2023-02-20",0.7168
"2023-02-21",0
"2023-02-22",0.2111
"2023-02-23",0
"2023-02-24",0.1279
"2023-02-25",1.008
"2023-02-26",1.762
"2023-02-27",0.6981
"2023-02-28",0.1638
"2023-03-01",0.4526
"2023-03-02",0
"2023-03-03",0
"2023-03-04",0
"2023-03-05",0
"2023-03-06",0
"2023-03-07",0
"2023-03-08",0
"2023-03-09",0
"2023-03-10",0
"2023-03-11",0
"2023-03-12",0.0364
"2023-03-13",4.9001
"2023-03-14",0.2438
"2023-03-15",0
"2023-03-16",1.4996
"2023-03-17",0.8334
"2023-03-18",15.5221
"2023-03-19",0.1138
"2023-03-20",10.4186
"2023-03-21",1.4708
"2023-03-22",0
"2023-03-23",0
"2023-03-24",0
"2023-03-25",0
"2023-03-26",0
"2023-03-27",0
"2023-03-28",0
"2023-03-29",0
"2023-03-30",0
"2023-03-31",1.1695
"2023-04-01",0
"2023-04-02",0
"2023-04-03",0
"2023-04-04",0
"2023-04-05",0
"2023-04-06",0
"2023-04-07",0
"2023-04-08",0
"2023-04-09",0
"2023-04-10",0
"2023-04-11",0
"2023-04-12",0
"2023-04-13",0.038
"2023-04-14",0.3345
"2023-04-15",1.259
"2023-04-16",0
"2023-04-17",0
"2023-04-18",0
"2023-04-19",0
"2023-04-20",0
"2023-04-21",0.0894
"2023-04-22",0
"2023-04-23",13.7296
"2023-04-24",0
"2023-04-25",0
"2023-04-26",0
"2023-04-27",0
"2023-04-28",0.0647
"2023-04-29",0.1927
"2023-04-30",9.8521
"2023-05-01",7.9564
"2023-05-02",0
"2023-05-03",0
"2023-05-04",0.0765
"2023-05-05",0
"2023-05-06",2.5769
"2023-05-07",2.4782
"2023-05-08",0
"2023-05-09",0.4105
"2023-05-10",0
"2023-05-11",0
"2023-05-12",0
"2023-05-13",0
"2023-05-14",7.1589
"2023-05-15",1.6243
"2023-05-16",0.7716
"2023-05-17",3.4173
"2023-05-18",2.4086
"2023-05-19",0
"2023-05-20",0
"2023-05-21",0
"2023-05-22",10.8986
"2023-05-23",15.6869
"2023-05-24",0.6719
"2023-05-25",12.7558
"2023-05-26",16.2745
"2023-05-27",4.9316
"2023-05-28",0
"2023-05-29",0
"2023-05-30",0
"2023-05-31",0
"2023-06-01",0.0009
"2023-06-02",17.1327
"2023-06-03",0.0011
"2023-06-04",0.6343
"2023-06-05",2.646
"2023-06-06",0.1949
"2023-06-07",7.4057
"2023-06-08",0
"2023-06-09",0
"2023-06-10",12.0472
"2023-06-11",0.224
"2023-06-12",3.9346
"2023-06-13",16.1148
"2023-06-14",12.0698
"2023-06-15",4.0005
"2023-06-16",0
"2023-06-17",0
"2023-06-18",7.4893
"2023-06-19",12.3798
"2023-06-20",4.2066
"2023-06-21",0
"2023-06-22",8.6445
"2023-06-23",18.6474
"2023-06-24",3.5024
"2023-06-25",4.6252
"2023-06-26",0
"2023-06-27",0
"2023-06-28",0.0618
"2023-06-29",8.9178
"2023-06-30",3.5776
"2023-07-01",0
"2023-07-02",9.4768
"2023-07-03",13.6147
"2023-07-04",0
"2023-07-05",0
"2023-07-06",11.6156
"2023-07-07",6.615
"2023-07-08",0
"2023-07-09",0
"2023-07-10",14.4404
"2023-07-11",0
"2023-07-12",2.8314
"2023-07-13",13.2901
"2023-07-14",0.963
"2023-07-15",0
"2023-07-16",95.3244
"2023-07-17",59.8267
"2023-07-18",42.0642
"2023-07-19",0.0007
"2023-07-20",1.2805
"2023-07-21",0
"2023-07-22",1.0774
"2023-07-23",34.0805
"2023-07-24",4.6537
"2023-07-25",0
"2023-07-26",24.0197
"2023-07-27",2.1103
"2023-07-28",17.1393
"2023-07-29",4.7069
"2023-07-30",0
"2023-07-31",67.2386
"2023-08-01",13.7566
"2023-08-02",0.0005
"2023-08-03",8.4551
"2023-08-04",7.9205
"2023-08-05",22.5537
"2023-08-06",23.9167
"2023-08-07",10.6016
"2023-08-08",34.8089
"2023-08-09",0
"2023-08-10",0
"2023-08-11",0
"2023-08-12",4.1939
"2023-08-13",37.9682
"2023-08-14",1.0853
"2023-08-15",21.8791
"2023-08-16",6.003
"2023-08-17",0.384
"2023-08-18",0
"2023-08-19",4.7075
"2023-08-20",30.3677
"2023-08-21",104.1899
"2023-08-22",77.2691
"2023-08-23",46.5611
"2023-08-24",4.3697
"2023-08-25",0
"2023-08-26",5.6325
"2023-08-27",0
"2023-08-28",0
"2023-08-29",0
"2023-08-30",0
"2023-08-31",0
"2023-09-01",0.5056
"2023-09-02",6.2505
"2023-09-03",46.7672
"2023-09-04",0
"2023-09-05",0
"2023-09-06",15.8538
"2023-09-07",112.5088
"2023-09-08",0.4569
"2023-09-09",0.161
"2023-09-10",0.049
"2023-09-11",4.6665
"2023-09-12",1.9904
"2023-09-13",2.6911
"2023-09-14",6.7389
"2023-09-15",0.1921
"2023-09-16",0
"2023-09-17",0.2795
"2023-09-18",0
"2023-09-19",0.1985
"2023-09-20",0
"2023-09-21",2.3511
"2023-09-22",0.046
"2023-09-23",0.2621
"2023-09-24",0.225
"2023-09-25",0
"2023-09-26",0.6632
"2023-09-27",0.1568
"2023-09-28",0.1044
"2023-09-29",0.2904
"2023-09-30",43.2715
"2023-10-01",21.4597
"2023-10-02",18.7196
"2023-10-03",15.2782
"2023-10-04",2.3619
"2023-10-05",0
"2023-10-06",0.651
"2023-10-07",0
"2023-10-08",0
"2023-10-09",0
"2023-10-10",0
"2023-10-11",0.127
"2023-10-12",0
"2023-10-13",0
"2023-10-14",0
"2023-10-15",0
"2023-10-16",3.8372
"2023-10-17",0.8195
"2023-10-18",0.0755
"2023-10-19",0
"2023-10-20",0
"2023-10-21",0
"2023-10-22",0
"2023-10-23",0
"2023-10-24",0.5079
"2023-10-25",0.1199
"2023-10-26",0
"2023-10-27",0
"2023-10-28",2.0926
"2023-10-29",1.3158
"2023-10-30",0
"2023-10-31",0
"2023-11-01",0.1374
"2023-11-02",0
"2023-11-03",0.2135
"2023-11-04",0.7045
"2023-11-05",0
"2023-11-06",0.0645
"2023-11-07",0
"2023-11-08",0.3256
"2023-11-09",0
"2023-11-10",0
"2023-11-11",0
"2023-11-12",0
"2023-11-13",0
"2023-11-14",0
"2023-11-15",0
"2023-11-16",0
"2023-11-17",0
"2023-11-18",0.1181
"2023-11-19",0
"2023-11-20",0
"2023-11-21",0
"2023-11-22",0
"2023-11-23",0
"2023-11-24",0
"2023-11-25",0
"2023-11-26",0
"2023-11-27",0.7187
"2023-11-28",2.054
"2023-11-29",0
"2023-11-30",0
"2023-12-01",0
"2023-12-02",0
"2023-12-03",0
"2023-12-04",2.4514
"2023-12-05",0
"2023-12-06",0
"2023-12-07",3.3033
"2023-12-08",0
"2023-12-09",0.3154
"2023-12-10",0
"2023-12-11",0
"2023-12-12",0
"2023-12-13",0
"2023-12-14",0
"2023-12-15",0
"2023-12-16",0.3354
"2023-12-17",0
"2023-12-18",0
"2023-12-19",0
"2023-12-20",0
"2023-12-21",0
"2023-12-22",0
"2023-12-23",0.1508
"2023-12-24",0
"2023-12-25",0
"2023-12-26",0
"2023-12-27",0
"2023-12-28",0
"2023-12-29",0
"2023-12-30",0
"2023-12-31",2.1848
