,"(mm) Precipitation (CHIRPS) at Polygon 1, 2022-01-01 to 2022-12-31"
"2022-01-01",1.3894
"2022-01-02",0.0396
"2022-01-03",0
"2022-01-04",0
"2022-01-05",1.2215
"2022-01-06",1.3639
"2022-01-07",0
"2022-01-08",0
"2022-01-09",0
"2022-01-10",0
"2022-01-11",0.232
"2022-01-12",3.5062
"2022-01-13",0
"2022-01-14",0
"2022-01-15",0
"2022-01-16",0.0128
"2022-01-17",0
"2022-01-18",0
"2022-01-19",0
"2022-01-20",1.7296
"2022-01-21",0
"2022-01-22",0
"2022-01-23",0
"2022-01-24",0
"2022-01-25",0
"2022-01-26",0.139
"2022-01-27",0
"2022-01-28",0
"2022-01-29",0
"2022-01-30",0.0083
"2022-01-31",0
"2022-02-01",0
"2022-02-02",0
"2022-02-03",25.4424
"2022-02-04",1.3765
"2022-02-05",0.0053
"2022-02-06",0
"2022-02-07",0
"2022-02-08",0
"2022-02-09",0
"2022-02-10",0
"2022-02-11",0.0007
"2022-02-12",0
"2022-02-13",0
"2022-02-14",0
"2022-02-15",0
"2022-02-16",0
"2022-02-17",0
"2022-02-18",0
"2022-02-19",0
"2022-02-20",0
"2022-02-21",0
"2022-02-22",0
"2022-02-23",0
"2022-02-24",0
"2022-02-25",0.0494
"2022-02-26",0
"2022-02-27",0
"2022-02-28",0
"2022-03-01",0.1487
"2022-03-02",1.8899
"2022-03-03",0
"2022-03-04",0
"2022-03-05",0.0348
"2022-03-06",0.5547
"2022-03-07",0
"2022-03-08",0.0231
"2022-03-09",0
"2022-03-10",0.1212
"2022-03-11",0.588
"2022-03-12",0
"2022-03-13",0
"2022-03-14",0
"2022-03-15",0
"2022-03-16",3.6079
"2022-03-17",0.0442
"2022-03-18",0
"2022-03-19",0
"2022-03-20",0.0498
"2022-03-21",0
"2022-03-22",0
"2022-03-23",0
"2022-03-24",0
"2022-03-25",0
"2022-03-26",0
"2022-03-27",0
"2022-03-28",0
"2022-03-29",0
"2022-03-30",3.5652
"2022-03-31",0.2216
"2022-04-01",0
"2022-04-02",1.3526
"2022-04-03",0
"2022-04-04",0
"2022-04-05",0
"2022-04-06",0
"2022-04-07",0
"2022-04-08",0.0684
"2022-04-09",1.7913
"2022-04-10",3.4672
"2022-04-11",0
"2022-04-12",0.486
"2022-04-13",4.5959
"2022-04-14",0.0549
"2022-04-15",0
"2022-04-16",0
"2022-04-17",0
"2022-04-18",0
"2022-04-19",2.4188
"2022-04-20",1.2127
"2022-04-21",0
"2022-04-22",1.5699
"2022-04-23",0
"2022-04-24",0
"2022-04-25",0
"2022-04-26",1.0291
"2022-04-27",0
"2022-04-28",2.5066
"2022-04-29",0.1198
"2022-04-30",0.0625
"2022-05-01",0.0192
"2022-05-02",9.4448
"2022-05-03",0.0049
"2022-05-04",0
"2022-05-05",0
"2022-05-06",1.4806
"2022-05-07",0
"2022-05-08",0.1159
"2022-05-09",2.6898
"2022-05-10",0
"2022-05-11",0
"2022-05-12",4.5004
"2022-05-13",2.1684
