,"(mm) Precipitation (CHIRPS) at Polygon 1, 2025-01-01 to 2025-12-31"
"2025-01-01",0
"2025-01-02",0
"2025-01-03",0
"2025-01-04",0
"2025-01-05",3.6865
"2025-01-06",0
"2025-01-07",1.6594
"2025-01-08",0
"2025-01-09",0
"2025-01-10",0
"2025-01-11",0
"2025-01-12",0
"2025-01-13",0
"2025-01-14",0
"2025-01-15",0
"2025-01-16",0
"2025-01-17",0
"2025-01-18",0
"2025-01-19",0
"2025-01-20",0
"2025-01-21",0.0006
"2025-01-22",0
"2025-01-23",0.0007
"2025-01-24",0.5386
"2025-01-25",0
"2025-01-26",0
"2025-01-27",0
"2025-01-28",0.9156
"2025-01-29",0
"2025-01-30",0
"2025-01-31",0
"2025-02-01",0
"2025-02-02",0
"2025-02-03",0
"2025-02-04",0
"2025-02-05",0
"2025-02-06",0.0037
"2025-02-07",0
"2025-02-08",0.2609
"2025-02-09",0.3256
"2025-02-10",1.6712
"2025-02-11",0
"2025-02-12",0
"2025-02-13",0
"2025-02-14",0
"2025-02-15",0
"2025-02-16",0
"2025-02-17",0
"2025-02-18",0
"2025-02-19",0
"2025-02-20",0
"2025-02-21",0
"2025-02-22",0
"2025-02-23",0
"2025-02-24",0
"2025-02-25",0
"2025-02-26",0.0633
"2025-02-27",0.0279
"2025-02-28",3.3406
"2025-03-01",6.1257
"2025-03-02",0
"2025-03-03",0
"2025-03-04",0
"2025-03-05",0
"2025-03-06",0
"2025-03-07",0
"2025-03-08",1.2781
"2025-03-09",0
"2025-03-10",0
"2025-03-11",0.0597
"2025-03-12",0.7417
"2025-03-13",0
"2025-03-14",0
"2025-03-15",0
"2025-03-16",0.3037
"2025-03-17",0
"2025-03-18",0
"2025-03-19",0
"2025-03-20",0
"2025-03-21",0
"2025-03-22",0.1009
"2025-03-23",0
"2025-03-24",0
"2025-03-25",0
"2025-03-26",0.0375
"2025-03-27",2.753
"2025-03-28",0
"2025-03-29",0
"2025-03-30",0
"2025-03-31",0
"2025-04-01",0
"2025-04-02",0
"2025-04-03",0
"2025-04-04",0
"2025-04-05",0
"2025-04-06",0
"2025-04-07",7.6273
"2025-04-08",8.2339
"2025-04-09",1.652
"2025-04-10",13.8202
"2025-04-11",0.3343
"2025-04-12",0
"2025-04-13",5.8363
"2025-04-14",0
"2025-04-15",0
"2025-04-16",0
"2025-04-17",0
"2025-04-18",0
"2025-04-19",0
"2025-04-20",0
"2025-04-21",0
"2025-04-22",0
"2025-04-23",0
"2025-04-24",0
"2025-04-25",0
"2025-04-26",0
"2025-04-27",21.3612
"2025-04-28",0
"2025-04-29",0.4136
"2025-04-30",1.403
"2025-05-01",24.9442
"2025-05-02",0
"2025-05-03",0
"2025-05-04",0
"2025-05-05",0
"2025-05-06",4.6363
"2025-05-07",2.872
"2025-05-08",3.5427
"2025-05-09",6.8986
"2025-05-10",11.1897
"2025-05-11",0
"2025-05-12",0
"2025-05-13",0
"2025-05-14",0
"2025-05-15",0
"2025-05-16",3.456
"2025-05-17",3.6359
"2025-05-18",2.7897
"2025-05-19",9.493
"2025-05-20",7.1443
"2025-05-21",8.7055
"2025-05-22",0
"2025-05-23",0
"2025-05-24",0
"2025-05-25",0
"2025-05-26",0
"2025-05-27",0
"2025-05-28",0.3421
"2025-05-29",4.5028
"2025-05-30",0
"2025-05-31",0
"2025-06-01",0
"2025-06-02",0.0498
"2025-06-03",0.2873
"2025-06-04",0.1697
"2025-06-05",0
"2025-06-06",0.1756
"2025-06-07",0.0468
"2025-06-08",0
"2025-06-09",0.1637
"2025-06-10",1.7723
"2025-06-11",0.0484
"2025-06-12",0.7045
"2025-06-13",3.0289
"2025-06-14",67.5434
"2025-06-15",24.9855
"2025-06-16",0.9897
"2025-06-17",3.4862
"2025-06-18",0.5059
"2025-06-19",71.1051
"2025-06-20",0.2283
"2025-06-21",28.1067
"2025-06-22",7.6435
"2025-06-23",46.0376
"2025-06-24",0
"2025-06-25",2.6334
"2025-06-26",9.7904
"2025-06-27",18.1342
"2025-06-28",46.0832
"2025-06-29",16.7349
"2025-06-30",0.2004
"2025-07-01",14.4328
"2025-07-02",9.3641
"2025-07-03",14.3849
"2025-07-04",19.2883
"2025-07-05",28.4195
"2025-07-06",5.086
"2025-07-07",0
"2025-07-08",54.4811
"2025-07-09",3.9528
"2025-07-10",0.105
"2025-07-11",0
"2025-07-12",30.479
"2025-07-13",3.8452
"2025-07-14",0.0007
"2025-07-15",0.002
"2025-07-16",0
"2025-07-17",0.2855
"2025-07-18",0
"2025-07-19",20.5072
"2025-07-20",27.2631
"2025-07-21",36.1527
"2025-07-22",1.6595
"2025-07-23",0
"2025-07-24",0
"2025-07-25",4.9145
"2025-07-26",1.8748
"2025-07-27",97.0945
"2025-07-28",29.8495
"2025-07-29",3.239
"2025-07-30",0
"2025-07-31",0
"2025-08-01",0.0017
"2025-08-02",1.0638
"2025-08-03",0
"2025-08-04",0
"2025-08-05",0
"2025-08-06",0
"2025-08-07",57.7144
"2025-08-08",1.4311
"2025-08-09",0
"2025-08-10",5.4925
"2025-08-11",88.3431
"2025-08-12",36.6195
"2025-08-13",0.0596
"2025-08-14",0
"2025-08-15",0
"2025-08-16",0
"2025-08-17",12.1882
"2025-08-18",4.9759
"2025-08-19",2.0844
"2025-08-20",0
"2025-08-21",2.8548
"2025-08-22",33.2354
"2025-08-23",0
"2025-08-24",0
"2025-08-25",0
"2025-08-26",10.192
"2025-08-27",38.7696
"2025-08-28",23.1465
"2025-08-29",19.1395
"2025-08-30",24.6888
"2025-08-31",5.7106
"2025-09-01",2.8114
"2025-09-02",16.3921
"2025-09-03",0.3286
"2025-09-04",1.6764
"2025-09-05",9.9857
"2025-09-06",12.083
"2025-09-07",0.1941
